model,dataset,test_type,amendment_type,accuracy_original_pct,accuracy_cold_pct,err_inc_pp,cohens_g,p_fdr,sig_fdr
llama-70b-cold,trivia,Normal,unmodified,86.04,92.4,-6.37,4.18,0.0001,Yes
llama-70b-cold,truthfulqa,Normal,emotion:anger,68.42,80.97,-12.55,6.328,0.0,Yes
llama-70b-cold,truthfulqa,Normal,emotion:happy,71.95,77.44,-5.49,2.741,0.0119,Yes
llama-70b-cold,truthfulqa,Normal,emotion:sad,72.15,76.22,-4.07,2.0,0.0673,No
llama-70b-cold,truthfulqa,Normal,relation:close,72.71,76.17,-3.46,1.763,0.0966,No
llama-70b-cold,truthfulqa,Normal,relation:hierarchical_down,77.23,80.95,-3.73,1.988,0.0673,No
llama-70b-cold,truthfulqa,Normal,relation:hierarchical_up,72.28,81.11,-8.83,4.778,0.0,Yes
llama-70b-cold,truthfulqa,Normal,stake:high,68.96,75.61,-6.65,2.97,0.007,Yes
llama-70b-cold,truthfulqa,Normal,stake:low,76.46,82.49,-6.04,3.162,0.0046,Yes
llama-70b-cold,truthfulqa,Normal,unmodified,70.96,80.16,-9.2,4.523,0.0,Yes
gpt-4o-cold,disinfo,Normal,emotion:anger,99.18,97.54,1.64,1.414,1.0,No
gpt-4o-cold,disinfo,Normal,emotion:happy,99.18,99.18,-0.0,,,
gpt-4o-cold,disinfo,Normal,emotion:sad,98.36,96.72,1.64,1.414,1.0,No
gpt-4o-cold,disinfo,Normal,relation:close,97.54,96.72,0.82,1.0,1.0,No
gpt-4o-cold,disinfo,Normal,relation:hierarchical_down,98.36,98.36,-0.0,0.0,1.0,No
gpt-4o-cold,disinfo,Normal,relation:hierarchical_up,97.54,96.72,0.82,1.0,1.0,No
gpt-4o-cold,disinfo,Normal,stake:high,97.54,97.54,-0.0,0.0,1.0,No
gpt-4o-cold,disinfo,Normal,stake:low,98.36,97.54,0.82,0.577,1.0,No
gpt-4o-cold,disinfo,Normal,unmodified,98.36,95.9,2.46,1.732,1.0,No
gpt-4o-cold,medqa,Normal,emotion:anger,83.94,83.33,0.6,0.367,1.0,No
gpt-4o-cold,medqa,Normal,emotion:happy,83.77,82.97,0.8,0.478,1.0,No
gpt-4o-cold,medqa,Normal,emotion:sad,83.0,83.4,-0.4,0.25,1.0,No
gpt-4o-cold,medqa,Normal,relation:close,83.37,84.77,-1.4,0.911,1.0,No
gpt-4o-cold,medqa,Normal,relation:hierarchical_down,83.77,83.57,0.2,0.117,1.0,No
gpt-4o-cold,medqa,Normal,relation:hierarchical_up,83.4,85.4,-2.0,1.231,1.0,No
gpt-4o-cold,medqa,Normal,stake:high,83.57,84.57,-1.0,0.62,1.0,No
gpt-4o-cold,medqa,Normal,stake:low,85.77,85.37,0.4,0.258,1.0,No
gpt-4o-cold,medqa,Normal,unmodified,83.73,83.53,0.2,0.126,1.0,No
gpt-4o-cold,trivia,Normal,emotion:anger,95.19,94.79,0.4,0.577,0.8036,No
gpt-4o-cold,trivia,Normal,emotion:happy,95.59,94.79,0.8,0.853,0.8036,No
gpt-4o-cold,trivia,Normal,emotion:sad,95.4,95.8,-0.4,0.632,0.8036,No
gpt-4o-cold,trivia,Normal,relation:close,96.0,94.6,1.4,2.111,0.5889,No
gpt-4o-cold,trivia,Normal,relation:hierarchical_down,95.6,96.0,-0.4,0.5,0.8036,No
gpt-4o-cold,trivia,Normal,relation:hierarchical_up,95.6,94.6,1.0,1.291,0.7734,No
gpt-4o-cold,trivia,Normal,stake:high,95.59,95.19,0.4,0.535,0.8036,No
gpt-4o-cold,trivia,Normal,stake:low,95.4,96.2,-0.8,1.265,0.7734,No
gpt-4o-cold,trivia,Normal,unmodified,95.2,94.0,1.2,1.604,0.7734,No
gpt-4o-cold,truthfulqa,Normal,emotion:anger,86.52,88.53,-2.01,1.336,0.937,No
gpt-4o-cold,truthfulqa,Normal,emotion:happy,87.93,86.72,1.21,0.775,1.0,No
gpt-4o-cold,truthfulqa,Normal,emotion:sad,86.12,86.12,-0.0,0.0,1.0,No
gpt-4o-cold,truthfulqa,Normal,relation:close,87.2,87.2,-0.0,0.0,1.0,No
gpt-4o-cold,truthfulqa,Normal,relation:hierarchical_down,88.39,90.11,-1.72,1.155,0.937,No
gpt-4o-cold,truthfulqa,Normal,relation:hierarchical_up,86.64,89.27,-2.63,1.612,0.937,No
gpt-4o-cold,truthfulqa,Normal,stake:high,86.12,87.14,-1.02,0.63,1.0,No
gpt-4o-cold,truthfulqa,Normal,stake:low,89.63,89.23,0.41,0.295,1.0,No
gpt-4o-cold,truthfulqa,Normal,unmodified,89.96,90.16,-0.2,0.14,1.0,No
qwen-32b-cold,disinfo,Normal,emotion:anger,98.36,96.72,1.64,0.816,0.9167,No
qwen-32b-cold,disinfo,Normal,emotion:happy,98.36,97.54,0.82,0.447,1.0,No
qwen-32b-cold,disinfo,Normal,emotion:sad,99.18,99.18,-0.0,,,
qwen-32b-cold,disinfo,Normal,relation:close,96.72,98.36,-1.64,1.414,0.8,No
qwen-32b-cold,disinfo,Normal,relation:hierarchical_down,98.36,96.72,1.64,1.414,0.8,No
qwen-32b-cold,disinfo,Normal,relation:hierarchical_up,96.72,96.72,-0.0,0.0,1.0,No
qwen-32b-cold,disinfo,Normal,stake:high,98.36,95.9,2.46,1.732,0.8,No
qwen-32b-cold,disinfo,Normal,stake:low,96.72,98.36,-1.64,1.414,0.8,No
qwen-32b-cold,disinfo,Normal,unmodified,98.36,95.9,2.46,1.342,0.8,No
qwen-32b-cold,medqa,Normal,emotion:anger,69.01,65.79,3.22,1.6,0.5994,No
qwen-32b-cold,medqa,Normal,emotion:happy,67.61,68.81,-1.21,0.647,0.8496,No
qwen-32b-cold,medqa,Normal,emotion:sad,66.93,66.33,0.6,0.285,0.8496,No
qwen-32b-cold,medqa,Normal,relation:close,66.73,68.54,-1.8,0.887,0.7752,No
qwen-32b-cold,medqa,Normal,relation:hierarchical_down,66.27,63.86,2.41,1.238,0.6381,No
qwen-32b-cold,medqa,Normal,relation:hierarchical_up,66.2,70.62,-4.43,2.222,0.3002,No
qwen-32b-cold,medqa,Normal,stake:high,64.86,67.07,-2.21,1.179,0.6381,No
qwen-32b-cold,medqa,Normal,stake:low,69.56,68.95,0.6,0.308,0.8496,No
qwen-32b-cold,medqa,Normal,unmodified,66.33,67.14,-0.81,0.442,0.8496,No
qwen-32b-cold,trivia,Normal,emotion:anger,79.0,79.4,-0.4,0.324,0.9803,No
qwen-32b-cold,trivia,Normal,emotion:happy,79.0,78.0,1.0,0.87,0.7493,No
qwen-32b-cold,trivia,Normal,emotion:sad,78.96,78.96,-0.0,0.0,1.0,No
qwen-32b-cold,trivia,Normal,relation:close,81.12,79.12,2.01,1.961,0.6797,No
qwen-32b-cold,trivia,Normal,relation:hierarchical_down,78.63,80.04,-1.41,1.528,0.7493,No
qwen-32b-cold,trivia,Normal,relation:hierarchical_up,78.2,79.2,-1.0,0.845,0.7493,No
qwen-32b-cold,trivia,Normal,stake:high,78.96,79.36,-0.4,0.324,0.9803,No
qwen-32b-cold,trivia,Normal,stake:low,80.8,79.4,1.4,1.093,0.7493,No
qwen-32b-cold,trivia,Normal,unmodified,80.72,79.72,1.0,0.928,0.7493,No
qwen-32b-cold,truthfulqa,Normal,emotion:anger,78.98,78.16,0.82,0.478,0.7202,No
qwen-32b-cold,truthfulqa,Normal,emotion:happy,83.84,79.35,4.5,2.94,0.0411,Yes
qwen-32b-cold,truthfulqa,Normal,emotion:sad,81.1,79.27,1.83,1.116,0.5335,No
qwen-32b-cold,truthfulqa,Normal,relation:close,78.68,79.96,-1.28,0.802,0.5675,No
qwen-32b-cold,truthfulqa,Normal,relation:hierarchical_down,83.88,82.23,1.65,1.069,0.5335,No
qwen-32b-cold,truthfulqa,Normal,relation:hierarchical_up,81.99,80.08,1.91,1.152,0.5335,No
qwen-32b-cold,truthfulqa,Normal,stake:high,78.73,76.89,1.84,1.039,0.5335,No
qwen-32b-cold,truthfulqa,Normal,stake:low,84.6,83.37,1.23,0.832,0.5675,No
qwen-32b-cold,truthfulqa,Normal,unmodified,84.92,82.64,2.27,1.364,0.5335,No
